day,stagecode,artistcode,starttime,duration,caption,headercode
1,mo,pattismithandherbandperformhorses,22:30,"",Patti Smith and Her Band perform Horses,20170404
1,mo,courtneybarnett,21:00,"",Courtney Barnett,20170404
1,mo,vintagetrouble,19:30,"",Vintage Trouble,20170404
1,mo,thestrumbellas,18:00,"",The Strumbellas,20170404
1,mo,andrewbird,16:30,"",Andrew Bird,20170404
1,mo,trevorhall,15:00,"",Trevor Hall,20170404
1,mo,welcometocountry,14:45,"",Welcome to Country,20170404
1,cr,nasgueststhesoulrebels,23:00,"",NAS & guests The Soul Rebels,20170404
1,cr,gallant,21:30,"",Gallant,20170404
1,cr,mileselectricband,20:00,"",Miles Electric Band,20170404
1,cr,snarkypuppy,18:30,"",Snarky Puppy,20170404
1,cr,maxjury,17:00,"",Max Jury,20170404
1,ja,stpaulthebrokenbones,22:30,"",St. Paul & The Broken Bones,20170404
1,ja,tromboneshortyorleansavenue,21:00,"",Trombone Shorty & Orleans Avenue,20170404
1,ja,corinnebaileyrae,19:30,"",Corinne Bailey Rae,20170404
1,ja,mavisstaples,18:00,"",Mavis Staples,20170404
1,ja,rhiannongiddens,16:30,"",Rhiannon Giddens,20170404
1,ja,davyknowles,15:00,"",Davy Knowles,20170404
1,de,themountaingoats,23:00,"",The Mountain Goats,20170404
1,de,mudmorganfield,21:30,"",Mud Morganfield,20170404
1,de,ericgales,20:00,"",Eric Gales,20170404
1,de,nikkihill,18:30,"",Nikki Hill,20170404
1,de,irishmythen,17:00,"",Irish Mythen,20170404
1,de,lucygallant,15:45,"",Lucy Gallant,20170404
1,ju,dumpstaphunk,22:30,"",Dumpstaphunk,20170404
1,ju,thecaliforniahoneydrops,21:00,"",The California Honeydrops,20170404
1,ju,thesuffers,19:30,"",The Suffers,20170404
1,ju,joanosborne,18:00,"",Joan Osborne,20170404
1,ju,melodyangel,16:30,"",Melody Angel,20170404
1,ju,devonallmanband,15:00,"",Devon Allman Band,20170404
1,ju,blindboypaxton,14:00,"",Blind Boy Paxton,20170404
2,mo,maryjblige,22:00,"",Mary J Blige,20170404
2,mo,snarkypuppy,20:30,"",Snarky Puppy,20170404
2,mo,tromboneshortyorleansavenue,19:00,"",Trombone Shorty & Orleans Avenue,20170404
2,mo,gallant,17:30,"",Gallant,20170404
2,mo,michaelkiwanuka,16:00,"",Michael Kiwanuka,20170404
2,mo,maxjury,14:30,"",Max Jury,20170404
2,mo,arakwalopeningceremony,13:45,"",Arakwal Opening Ceremony,20170404
2,cr,thelumineers,22:45,"",The Lumineers,20170404
2,cr,bonnieraitt,20:45,"",Bonnie Raitt,20170404
2,cr,jimmybuffett,18:45,"",Jimmy Buffett,20170404
2,cr,pattismithandbandacoustic,17:15,"",Patti Smith and Band Acoustic,20170404
2,cr,mavisstaples,15:45,"",Mavis Staples,20170404
2,cr,rhiannongiddens,14:15,"",Rhiannon Giddens,20170404
2,ja,themountaingoats,23:00,"",The Mountain Goats,20170404
2,ja,playingforchange,21:30,"",Playing for Change,20170404
2,ja,gregoryporter,20:00,"",Gregory Porter,20170404
2,ja,rickieleejones,18:30,"",Rickie Lee Jones,20170404
2,ja,royayers,17:00,"",Roy Ayers,20170404
2,ja,ellishall,15:30,"",Ellis Hall,20170404
2,ja,melodyangel,14:00,"",Melody Angel,20170404
2,ja,busbymarou,12:30,"",Busby Marou,20170404
2,de,dumpstaphunk,22:30,"",Dumpstaphunk,20170404
2,de,thesuffers,21:00,"",The Suffers,20170404
2,de,thesoulrebels,19:30,"",The Soul Rebels,20170404
2,de,devonallmanband,18:00,"",Devon Allman Band,20170404
2,de,thestrumbellas,16:30,"",The Strumbellas,20170404
2,de,joanosborne,15:00,"",Joan Osborne,20170404
2,de,nikkihill,13:30,"",Nikki Hill,20170404
2,de,blindboypaxton,12:00,"",Blind Boy Paxton,20170404
2,ju,mudmorganfield,23:00,"",Mud Morganfield,20170404
2,ju,ericgales,21:30,"",Eric Gales,20170404
2,ju,thecaliforniahoneydrops,20:00,"",The California Honeydrops,20170404
2,ju,davyknowles,18:30,"",Davy Knowles,20170404
2,ju,wouterkellerman,17:00,"",Wouter Kellerman,20170404
2,bo,oka,15:30,"",OKA,20170404
2,bo,jannawidanceclan,15:00,"",Jannawi Dance Clan,20170404
2,bo,emilywurramara,14:15,"",Emily Wurramara,20170404
2,bo,excelsior,13:45,"",Excelsior,20170404
2,bo,yirrmal,13:00,"",Yirrmal,20170404
2,bo,airilekeandrizeofthemorningstar,12:30,"",Airileke and Rize Of the Morning Star,20170404
